skill_id,cell_id,role,evaluation_status,task,arm,seed,attempt,path,sha256,render_addressable,parameters_path,scene_bank_path
skill-e-expert-reference-door_push-seed-00-best,e-expert-reference-door_push-seed-00,executed_expert,evaluated,door_push,expert-reference,0,,data/skills/best/e-expert-reference-door_push-seed-00.yaml,38f2a79fae78fb44ffb3fa10c889533db9265befae31bebdbea105b8eab7900b,true,data/parameters/e-expert-reference-door_push-seed-00.json,data/scenes/e-expert-reference-door_push-seed-00.json
skill-e-expert-reference-door_push-seed-01-best,e-expert-reference-door_push-seed-01,executed_expert,evaluated,door_push,expert-reference,1,,data/skills/best/e-expert-reference-door_push-seed-01.yaml,38f2a79fae78fb44ffb3fa10c889533db9265befae31bebdbea105b8eab7900b,true,data/parameters/e-expert-reference-door_push-seed-01.json,data/scenes/e-expert-reference-door_push-seed-01.json
skill-e-expert-reference-door_push-seed-02-best,e-expert-reference-door_push-seed-02,executed_expert,evaluated,door_push,expert-reference,2,,data/skills/best/e-expert-reference-door_push-seed-02.yaml,38f2a79fae78fb44ffb3fa10c889533db9265befae31bebdbea105b8eab7900b,true,data/parameters/e-expert-reference-door_push-seed-02.json,data/scenes/e-expert-reference-door_push-seed-02.json
skill-e-expert-reference-door_push-seed-03-best,e-expert-reference-door_push-seed-03,executed_expert,evaluated,door_push,expert-reference,3,,data/skills/best/e-expert-reference-door_push-seed-03.yaml,38f2a79fae78fb44ffb3fa10c889533db9265befae31bebdbea105b8eab7900b,true,data/parameters/e-expert-reference-door_push-seed-03.json,data/scenes/e-expert-reference-door_push-seed-03.json
skill-e-expert-reference-door_push-seed-04-best,e-expert-reference-door_push-seed-04,executed_expert,evaluated,door_push,expert-reference,4,,data/skills/best/e-expert-reference-door_push-seed-04.yaml,38f2a79fae78fb44ffb3fa10c889533db9265befae31bebdbea105b8eab7900b,true,data/parameters/e-expert-reference-door_push-seed-04.json,data/scenes/e-expert-reference-door_push-seed-04.json
skill-e-expert-reference-door_push-seed-05-best,e-expert-reference-door_push-seed-05,executed_expert,evaluated,door_push,expert-reference,5,,data/skills/best/e-expert-reference-door_push-seed-05.yaml,38f2a79fae78fb44ffb3fa10c889533db9265befae31bebdbea105b8eab7900b,true,data/parameters/e-expert-reference-door_push-seed-05.json,data/scenes/e-expert-reference-door_push-seed-05.json
skill-e-expert-reference-door_push-seed-06-best,e-expert-reference-door_push-seed-06,executed_expert,evaluated,door_push,expert-reference,6,,data/skills/best/e-expert-reference-door_push-seed-06.yaml,38f2a79fae78fb44ffb3fa10c889533db9265befae31bebdbea105b8eab7900b,true,data/parameters/e-expert-reference-door_push-seed-06.json,data/scenes/e-expert-reference-door_push-seed-06.json
skill-e-expert-reference-door_push-seed-07-best,e-expert-reference-door_push-seed-07,executed_expert,evaluated,door_push,expert-reference,7,,data/skills/best/e-expert-reference-door_push-seed-07.yaml,38f2a79fae78fb44ffb3fa10c889533db9265befae31bebdbea105b8eab7900b,true,data/parameters/e-expert-reference-door_push-seed-07.json,data/scenes/e-expert-reference-door_push-seed-07.json
skill-e-expert-reference-door_push-seed-08-best,e-expert-reference-door_push-seed-08,executed_expert,evaluated,door_push,expert-reference,8,,data/skills/best/e-expert-reference-door_push-seed-08.yaml,38f2a79fae78fb44ffb3fa10c889533db9265befae31bebdbea105b8eab7900b,true,data/parameters/e-expert-reference-door_push-seed-08.json,data/scenes/e-expert-reference-door_push-seed-08.json
skill-e-expert-reference-door_push-seed-09-best,e-expert-reference-door_push-seed-09,executed_expert,evaluated,door_push,expert-reference,9,,data/skills/best/e-expert-reference-door_push-seed-09.yaml,38f2a79fae78fb44ffb3fa10c889533db9265befae31bebdbea105b8eab7900b,true,data/parameters/e-expert-reference-door_push-seed-09.json,data/scenes/e-expert-reference-door_push-seed-09.json
